Unnamed: 0,name,loyalty,date
408,PAPOKEN,6701.0,2021-12-04 15:23:00
409,PAPOKEN,7401.0,2021-12-10 12:33:00
410,PAPOKEN,7501.0,2021-12-11 16:36:00
411,Zeus Almighty,2601.0,2021-11-22 05:11:00
412,Zeus Almighty,2701.0,2021-11-22 05:46:00
413,Zeus Almighty,3101.0,2021-11-22 10:05:00
414,Zeus Almighty,3901.0,2021-11-23 08:50:00
415,Zeus Almighty,4201.0,2021-11-23 17:59:00
416,Zeus Almighty,4301.0,2021-11-23 22:21:00
417,Zeus Almighty,4501.0,2021-11-24 08:48:00
418,Zeus Almighty,4701.0,2021-11-24 22:56:00
419,Zeus Almighty,4801.0,2021-11-25 02:35:00
420,Zeus Almighty,4901.0,2021-11-25 11:02:00
421,Zeus Almighty,5001.0,2021-11-25 21:09:00
422,Zeus Almighty,5101.0,2021-11-26 04:04:00
423,Zeus Almighty,5201.0,2021-11-26 11:39:00
424,Zeus Almighty,5301.0,2021-11-27 00:11:00
425,Zeus Almighty,5601.0,2021-11-28 13:10:00
426,Zeus Almighty,5701.0,2021-11-29 00:48:00
427,Zeus Almighty,5801.0,2021-11-29 11:26:00
428,Zeus Almighty,6001.0,2021-11-30 12:37:00
429,Zeus Almighty,6801.0,2021-12-06 22:10:00
430,Zeus Almighty,7001.0,2021-12-12 09:16:00
431,Zeus Almighty,7401.0,2021-12-14 08:38:00
432,Zeus Almighty,7501.0,2021-12-14 20:21:00
433,Zeus Almighty,7601.0,2021-12-16 01:19:00
434,Zeus Almighty,7801.0,2021-12-19 12:46:00
435,Zeus Almighty,7901.0,2021-12-20 21:37:00
436,Zeus Almighty,9201.0,2022-01-16 04:07:49
437,Zeus Almighty,7101.0,2022-01-16 04:08:07
438,Red_Knave,1901.0,2021-11-22 06:53:00
439,Red_Knave,2201.0,2021-11-22 08:00:00
440,Red_Knave,2401.0,2021-11-22 08:32:00
441,Red_Knave,2501.0,2021-11-22 09:39:00
442,Red_Knave,2701.0,2021-11-22 10:53:00
443,Red_Knave,2801.0,2021-11-22 12:45:00
444,Red_Knave,3001.0,2021-11-22 15:05:00
445,Red_Knave,3201.0,2021-11-22 17:43:00
446,Red_Knave,3401.0,2021-11-22 21:17:00
447,Red_Knave,3601.0,2021-11-23 07:21:00
448,Red_Knave,3801.0,2021-11-23 13:36:00
449,Red_Knave,4001.0,2021-11-23 18:01:00
450,Red_Knave,4201.0,2021-11-24 07:33:00
451,Red_Knave,4401.0,2021-11-24 16:04:00
452,Red_Knave,4501.0,2021-11-24 23:47:00
453,Red_Knave,4601.0,2021-11-25 06:52:00
454,Red_Knave,4701.0,2021-11-25 13:42:00
455,Red_Knave,4801.0,2021-11-26 08:25:00
456,Red_Knave,4901.0,2021-11-26 14:45:00
457,Red_Knave,5001.0,2021-11-27 06:18:00
458,Red_Knave,5101.0,2021-11-27 14:07:00
459,Red_Knave,5201.0,2021-11-27 23:53:00
460,Red_Knave,5301.0,2021-11-28 10:49:00
461,Red_Knave,5401.0,2021-11-29 07:02:00
462,Red_Knave,5501.0,2021-11-29 10:09:00
463,Red_Knave,5601.0,2021-11-29 22:49:00
464,Red_Knave,5701.0,2021-11-30 20:02:00
465,Red_Knave,5801.0,2021-12-01 07:26:00
466,Red_Knave,5901.0,2021-12-01 17:43:00
467,Red_Knave,6001.0,2021-12-02 07:46:00
468,Red_Knave,6101.0,2021-12-03 07:15:00
469,Red_Knave,6201.0,2021-12-03 16:05:00
470,Red_Knave,6301.0,2021-12-04 18:42:00
471,Red_Knave,6401.0,2021-12-05 13:26:00
472,Red_Knave,6501.0,2021-12-06 21:08:00
473,Red_Knave,6601.0,2021-12-07 11:44:00
474,Red_Knave,6701.0,2021-12-08 15:26:00
475,Red_Knave,6801.0,2021-12-09 19:36:00
476,Red_Knave,6901.0,2021-12-10 16:14:00
477,Red_Knave,7001.0,2021-12-12 00:33:00
478,Red_Knave,7101.0,2021-12-13 07:42:00
479,Red_Knave,7201.0,2021-12-14 19:51:00
480,Red_Knave,7301.0,2021-12-15 22:10:00
481,Red_Knave,7401.0,2021-12-17 20:12:00
482,Red_Knave,7501.0,2021-12-20 07:25:00
483,Tygunru,1801.0,2021-11-22 00:51:00
484,Tygunru,2701.0,2021-11-22 09:57:00
485,Tygunru,2901.0,2021-11-22 10:51:00
486,Tygunru,3001.0,2021-11-22 11:27:00
487,Tygunru,3301.0,2021-11-22 16:53:00
488,Tygunru,3401.0,2021-11-22 20:00:00
489,Tygunru,3501.0,2021-11-22 21:24:00
490,Tygunru,3901.0,2021-11-23 13:30:00
491,Tygunru,4101.0,2021-11-23 20:58:00
492,Tygunru,4301.0,2021-11-24 08:41:00
493,Tygunru,4401.0,2021-11-24 11:31:00
494,Tygunru,4501.0,2021-11-24 19:00:00
495,Tygunru,4701.0,2021-11-25 10:50:00
496,Tygunru,4801.0,2021-11-25 15:28:00
497,Tygunru,5001.0,2021-11-26 11:47:00
498,Tygunru,5101.0,2021-11-26 22:22:00
499,Tygunru,5201.0,2021-11-27 11:36:00
500,Tygunru,5301.0,2021-11-27 13:18:00
501,Tygunru,5401.0,2021-11-27 22:13:00
502,Tygunru,5501.0,2021-11-28 10:21:00
503,Tygunru,5601.0,2021-11-28 19:58:00
504,Tygunru,5701.0,2021-11-29 10:10:00
505,Tygunru,5801.0,2021-11-29 23:22:00
506,Tygunru,5901.0,2021-11-30 11:10:00
507,Tygunru,6001.0,2021-12-01 03:10:00
508,Tygunru,6101.0,2021-12-01 15:23:00
509,Tygunru,6201.0,2021-12-02 10:39:00
